fichier,id,exercice
shadow.jpg,EX-S01,"Shadow boxing"
EX-S02.jpg,EX-S02,"Scie alternée"
EX-S03.jpg,EX-S03,"Bras de nage"
EX-S04.jpg,EX-S04,"Bâton de ski"
EX-S05.jpg,EX-S05,"Windmill"
EX-S06.jpg,EX-S06,"Mountain climber"
EX-S07.jpg,EX-S07,"Montée de genoux"
EX-S08.jpg,EX-S08,"Jumping jack"
EX-S09.jpg,EX-S09,"Squat sauté"
EX-S10.jpg,EX-S10,"Burpee"
EX-S11.jpg,EX-S11,"Pas de côté rapides"
EX-B01.jpg,EX-B01,"Kayak simulé"
EX-B02.jpg,EX-B02,"Bâton de ski barre"
EX-B03.jpg,EX-B03,"Rotation du tronc rapide"
EX-B04.jpg,EX-B04,"Scie alternée barre"
EX-B05.jpg,EX-B05,"Windmill barre"
EX-B06.jpg,EX-B06,"Squat"
EX-B07.jpg,EX-B07,"Fentes avant"
EX-B08.jpg,EX-B08,"Fentes latérales"
EX-B09.jpg,EX-B09,"Hip hinge"
EX-B10.jpg,EX-B10,"Crunch"
EX-B11.jpg,EX-B11,"Russian twist"
EX-B12.jpg,EX-B12,"Relevé de buste"
EX-E01.jpg,EX-E01,"Curl biceps"
EX-E02.jpg,EX-E02,"Rowing debout"
EX-E03.jpg,EX-E03,"Élévations frontales"
EX-E04.jpg,EX-E04,"Upright row"
EX-E05.jpg,EX-E05,"Shrug"
EX-E06.jpg,EX-E06,"Squat résisté"
EX-E07.jpg,EX-E07,"Thruster"
EX-E08.jpg,EX-E08,"Squat + curl biceps"
EX-E09.jpg,EX-E09,"Élévations latérales assis"
EX-E10.jpg,EX-E10,"Développé militaire assis"
EX-E11.jpg,EX-E11,"Curl biceps assis"
EX-E12.jpg,EX-E12,"Press pectoraux"
EX-E13.jpg,EX-E13,"Fly pectoraux"
EX-E14.jpg,EX-E14,"Press incliné"
EX-E15.jpg,EX-E15,"Tirage horizontal"
EX-E16.jpg,EX-E16,"Tirage buste penché"
EX-E17.jpg,EX-E17,"Face pull"
EX-E18.jpg,EX-E18,"Rotation du tronc résistée"
EX-E19.jpg,EX-E19,"Chop diagonal"
EX-E20.jpg,EX-E20,"Reverse chop"
EX-E21.jpg,EX-E21,"Press horizontal résisté"
EX-E22.jpg,EX-E22,"Tirage vertical"
EX-E23.jpg,EX-E23,"Extension triceps debout"
EX-E24.jpg,EX-E24,"Crunch résisté"
EX-E25.jpg,EX-E25,"Pull over debout"
EX-E26.jpg,EX-E26,"Extension triceps chaise"
ob-position-debout.jpg,OB-POS-1,"Onboarding — quelqu'un debout avec la barre"
ob-position-assis.jpg,OB-POS-2,"Onboarding — quelqu'un assis avec la barre"
ob-position-allonge.jpg,OB-POS-3,"Onboarding — quelqu'un allongé avec la barre"
